date_key,date,year,quarter,month_number,month_name,week_number,day,day_name,weekend_flag
20240701,2024-07-01,2024,3,7,July,27,1,Monday,0
20240702,2024-07-02,2024,3,7,July,27,2,Tuesday,0
20240703,2024-07-03,2024,3,7,July,27,3,Wednesday,0
20240704,2024-07-04,2024,3,7,July,27,4,Thursday,0
20240705,2024-07-05,2024,3,7,July,27,5,Friday,0
20240706,2024-07-06,2024,3,7,July,27,6,Saturday,1
20240707,2024-07-07,2024,3,7,July,27,7,Sunday,1
20240708,2024-07-08,2024,3,7,July,28,8,Monday,0
20240709,2024-07-09,2024,3,7,July,28,9,Tuesday,0
20240710,2024-07-10,2024,3,7,July,28,10,Wednesday,0
20240711,2024-07-11,2024,3,7,July,28,11,Thursday,0
20240712,2024-07-12,2024,3,7,July,28,12,Friday,0
20240713,2024-07-13,2024,3,7,July,28,13,Saturday,1
20240714,2024-07-14,2024,3,7,July,28,14,Sunday,1
20240715,2024-07-15,2024,3,7,July,29,15,Monday,0
20240716,2024-07-16,2024,3,7,July,29,16,Tuesday,0
20240717,2024-07-17,2024,3,7,July,29,17,Wednesday,0
20240718,2024-07-18,2024,3,7,July,29,18,Thursday,0
20240719,2024-07-19,2024,3,7,July,29,19,Friday,0
20240720,2024-07-20,2024,3,7,July,29,20,Saturday,1
20240721,2024-07-21,2024,3,7,July,29,21,Sunday,1
20240722,2024-07-22,2024,3,7,July,30,22,Monday,0
20240723,2024-07-23,2024,3,7,July,30,23,Tuesday,0
20240724,2024-07-24,2024,3,7,July,30,24,Wednesday,0
20240725,2024-07-25,2024,3,7,July,30,25,Thursday,0
20240726,2024-07-26,2024,3,7,July,30,26,Friday,0
20240727,2024-07-27,2024,3,7,July,30,27,Saturday,1
20240728,2024-07-28,2024,3,7,July,30,28,Sunday,1
20240729,2024-07-29,2024,3,7,July,31,29,Monday,0
20240730,2024-07-30,2024,3,7,July,31,30,Tuesday,0
20240731,2024-07-31,2024,3,7,July,31,31,Wednesday,0
20240801,2024-08-01,2024,3,8,August,31,1,Thursday,0
20240802,2024-08-02,2024,3,8,August,31,2,Friday,0
20240803,2024-08-03,2024,3,8,August,31,3,Saturday,1
20240804,2024-08-04,2024,3,8,August,31,4,Sunday,1
20240805,2024-08-05,2024,3,8,August,32,5,Monday,0
20240806,2024-08-06,2024,3,8,August,32,6,Tuesday,0
20240807,2024-08-07,2024,3,8,August,32,7,Wednesday,0
20240808,2024-08-08,2024,3,8,August,32,8,Thursday,0
20240809,2024-08-09,2024,3,8,August,32,9,Friday,0
20240810,2024-08-10,2024,3,8,August,32,10,Saturday,1
20240811,2024-08-11,2024,3,8,August,32,11,Sunday,1
20240812,2024-08-12,2024,3,8,August,33,12,Monday,0
20240813,2024-08-13,2024,3,8,August,33,13,Tuesday,0
20240814,2024-08-14,2024,3,8,August,33,14,Wednesday,0
20240815,2024-08-15,2024,3,8,August,33,15,Thursday,0
20240816,2024-08-16,2024,3,8,August,33,16,Friday,0
20240817,2024-08-17,2024,3,8,August,33,17,Saturday,1
20240818,2024-08-18,2024,3,8,August,33,18,Sunday,1
20240819,2024-08-19,2024,3,8,August,34,19,Monday,0
20240820,2024-08-20,2024,3,8,August,34,20,Tuesday,0
20240821,2024-08-21,2024,3,8,August,34,21,Wednesday,0
20240822,2024-08-22,2024,3,8,August,34,22,Thursday,0
20240823,2024-08-23,2024,3,8,August,34,23,Friday,0
20240824,2024-08-24,2024,3,8,August,34,24,Saturday,1
20240825,2024-08-25,2024,3,8,August,34,25,Sunday,1
20240826,2024-08-26,2024,3,8,August,35,26,Monday,0
20240827,2024-08-27,2024,3,8,August,35,27,Tuesday,0
20240828,2024-08-28,2024,3,8,August,35,28,Wednesday,0
20240829,2024-08-29,2024,3,8,August,35,29,Thursday,0
20240830,2024-08-30,2024,3,8,August,35,30,Friday,0
20240831,2024-08-31,2024,3,8,August,35,31,Saturday,1
20240901,2024-09-01,2024,3,9,September,35,1,Sunday,1
20240902,2024-09-02,2024,3,9,September,36,2,Monday,0
20240903,2024-09-03,2024,3,9,September,36,3,Tuesday,0
20240904,2024-09-04,2024,3,9,September,36,4,Wednesday,0
20240905,2024-09-05,2024,3,9,September,36,5,Thursday,0
20240906,2024-09-06,2024,3,9,September,36,6,Friday,0
20240907,2024-09-07,2024,3,9,September,36,7,Saturday,1
20240908,2024-09-08,2024,3,9,September,36,8,Sunday,1
20240909,2024-09-09,2024,3,9,September,37,9,Monday,0
20240910,2024-09-10,2024,3,9,September,37,10,Tuesday,0
20240911,2024-09-11,2024,3,9,September,37,11,Wednesday,0
20240912,2024-09-12,2024,3,9,September,37,12,Thursday,0
20240913,2024-09-13,2024,3,9,September,37,13,Friday,0
20240914,2024-09-14,2024,3,9,September,37,14,Saturday,1
20240915,2024-09-15,2024,3,9,September,37,15,Sunday,1
20240916,2024-09-16,2024,3,9,September,38,16,Monday,0
20240917,2024-09-17,2024,3,9,September,38,17,Tuesday,0
20240918,2024-09-18,2024,3,9,September,38,18,Wednesday,0
20240919,2024-09-19,2024,3,9,September,38,19,Thursday,0
20240920,2024-09-20,2024,3,9,September,38,20,Friday,0
20240921,2024-09-21,2024,3,9,September,38,21,Saturday,1
20240922,2024-09-22,2024,3,9,September,38,22,Sunday,1
20240923,2024-09-23,2024,3,9,September,39,23,Monday,0
20240924,2024-09-24,2024,3,9,September,39,24,Tuesday,0
20240925,2024-09-25,2024,3,9,September,39,25,Wednesday,0
20240926,2024-09-26,2024,3,9,September,39,26,Thursday,0
20240927,2024-09-27,2024,3,9,September,39,27,Friday,0
20240928,2024-09-28,2024,3,9,September,39,28,Saturday,1
20240929,2024-09-29,2024,3,9,September,39,29,Sunday,1
20240930,2024-09-30,2024,3,9,September,40,30,Monday,0
20241001,2024-10-01,2024,4,10,October,40,1,Tuesday,0
20241002,2024-10-02,2024,4,10,October,40,2,Wednesday,0
20241003,2024-10-03,2024,4,10,October,40,3,Thursday,0
20241004,2024-10-04,2024,4,10,October,40,4,Friday,0
20241005,2024-10-05,2024,4,10,October,40,5,Saturday,1
20241006,2024-10-06,2024,4,10,October,40,6,Sunday,1
20241007,2024-10-07,2024,4,10,October,41,7,Monday,0
20241008,2024-10-08,2024,4,10,October,41,8,Tuesday,0
20241009,2024-10-09,2024,4,10,October,41,9,Wednesday,0
20241010,2024-10-10,2024,4,10,October,41,10,Thursday,0
20241011,2024-10-11,2024,4,10,October,41,11,Friday,0
20241012,2024-10-12,2024,4,10,October,41,12,Saturday,1
20241013,2024-10-13,2024,4,10,October,41,13,Sunday,1
20241014,2024-10-14,2024,4,10,October,42,14,Monday,0
20241015,2024-10-15,2024,4,10,October,42,15,Tuesday,0
20241016,2024-10-16,2024,4,10,October,42,16,Wednesday,0
20241017,2024-10-17,2024,4,10,October,42,17,Thursday,0
20241018,2024-10-18,2024,4,10,October,42,18,Friday,0
20241019,2024-10-19,2024,4,10,October,42,19,Saturday,1
20241020,2024-10-20,2024,4,10,October,42,20,Sunday,1
20241021,2024-10-21,2024,4,10,October,43,21,Monday,0
20241022,2024-10-22,2024,4,10,October,43,22,Tuesday,0
